epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4473,0.56404,0.56819,1.00476,0.94117,0.92713,0.98476,0.90478,0.42597,0.45123,0.83949,0.0701538,0.00331624,0.00331624
2,22.6017,0.57112,0.58173,1.01253,0.95184,0.94304,0.98237,0.89075,0.45968,0.426,0.85114,0.0400661,0.0065618,0.0065618
3,33.7201,0.61593,0.63049,1.04137,0.9254,0.94402,0.98615,0.86039,0.51705,0.48307,0.88235,0.0098903,0.00971936,0.00971936
4,44.4608,0.61631,0.64533,1.03677,0.95482,0.95416,0.98346,0.87945,0.47006,0.49176,0.85749,0.009604,0.009604,0.009604
5,55.3098,0.60994,0.63968,1.03637,0.88818,0.89606,0.97498,0.86378,0.4795,0.63297,0.86621,0.009472,0.009472,0.009472
6,65.9779,0.62,0.65342,1.0486,0.9371,0.95263,0.97482,0.88906,0.4306,0.47455,0.85639,0.00934,0.00934,0.00934
7,76.1073,0.62072,0.62934,1.04838,0.98215,0.96925,0.98931,0.87811,0.50941,0.40879,0.88461,0.009208,0.009208,0.009208
8,86.9145,0.62104,0.61461,1.04327,0.95114,0.95926,0.98903,0.88789,0.50905,0.45061,0.86963,0.009076,0.009076,0.009076
9,97.8598,0.62629,0.62724,1.04401,0.88081,0.93252,0.98427,0.89332,0.45338,0.51298,0.84481,0.008944,0.008944,0.008944
10,108.498,0.60785,0.60405,1.02999,0.97371,0.9588,0.98345,0.8903,0.44991,0.41096,0.85101,0.008812,0.008812,0.008812
11,119.389,0.58467,0.58181,1.01481,0.95631,0.96498,0.98479,0.90939,0.41465,0.41675,0.84842,0.00868,0.00868,0.00868
12,130.226,0.60686,0.62441,1.03663,0.97424,0.96289,0.98649,0.91024,0.41917,0.42638,0.84672,0.008548,0.008548,0.008548
13,140.467,0.57339,0.55598,1.02603,0.98084,0.94311,0.98297,0.89293,0.4342,0.42027,0.85125,0.008416,0.008416,0.008416
14,150.704,0.59208,0.5873,1.03108,0.97962,0.98032,0.98861,0.87141,0.51503,0.43862,0.88219,0.008284,0.008284,0.008284
15,160.989,0.57453,0.57022,1.01978,0.97992,0.98167,0.99054,0.91257,0.41697,0.38451,0.84631,0.008152,0.008152,0.008152
16,171.079,0.54684,0.55555,1.00657,0.86356,0.91822,0.9834,0.89494,0.44487,0.54357,0.84903,0.00802,0.00802,0.00802
